Date,Property ID,Property,App ID,App name,Platform,Delivery method,Display format,Bidding requests,Bidding responses,Bid rate,Win rate,Requests,Filled requests,Fill rate,Impressions,Impression rate,Clicks,CTR,Effective CPM,Revenue
2026-01-09,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,interstitial,3304686,138688,0.041967073422407,0.052564028610983,7290,6294,0.86337448559671,1617,0.25691134413727,77,0.047619047619048,15.461536910946,25.001305185
2026-01-09,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,interstitial,27,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-09,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,rewarded_video,1951929,128455,0.065809258431019,0.089136273403137,11450,8979,0.78419213973799,1741,0.19389687047555,114,0.065479609419874,18.239588515336,31.7551236052
2026-01-09,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,rewarded_video,16,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-08,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,banner,15652925,2956025,0.18884809069231,0.4705129354454,1390848,1390848,1,1330616,0.95669404564697,3411,0.0025634743607472,0.078903614095351,104.9904113731
2026-01-08,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,interstitial,5174494,1029489,0.19895452579518,0.28748728738238,295965,295048,0.99690166066934,168646,0.57158835172582,30906,0.18325960888488,3.5637947985787,601.0197376011
2026-01-08,"=""2626611480829810""","=""Take Off Bolts: Screw Puzzle""","=""1098903967968358""","=""Take Off Bolts: Screw Puzzle""",android,bidding,rewarded_video,2340594,486096,0.20768061440814,0.29360249827195,142719,141158,0.98906242336339,47473,0.33631108403349,19063,0.40155456785963,9.0322296039665,428.7870359891
2026-01-08,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,banner,8232461,231550,0.028126461819862,0.20725977110775,47991,47991,1,44563,0.92856994019712,12,0.00026928169108902,0.071015950144739,3.1646837863
2026-01-08,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",android,bidding,banner,1,0,0,0,0,0,0,0,0,0,0,0,Not available
2026-01-08,"=""848444543704230""","=""Screw Puzzle iOS""","=""1133696690979518""","=""Screw Puzzle iOS - Audience Network""",ios,bidding,interstitial,3289444,140678,0.042766497924877,0.060172877066777,8465,7198,0.85032486709982,1865,0.25909974993054,115,0.061662198391421,10.880825154048,20.2927389123
