event_date,ad_format,show_pv,impression_pv,display_failed_pv,impression_show_rate,impression_plus_failed_show_rate,impression_show_rate_dod,impression_plus_failed_show_rate_dod
2025-11-07,rewarded,301781,276281,2342,0.9155016386054788,0.9232622332088501,-0.0001536876810956933,0.001448154332257534
2025-11-08,interstitial,917863,803768,14066,0.8756949566547513,0.8910196837654422,-0.0006236275668699554,-0.000761340978084335
2025-11-08,rewarded,297406,272369,2265,0.9158154173083259,0.9234312690396294,0.00031377870284710063,0.00016903583077920725
2025-11-09,interstitial,940063,822621,13380,0.875070075090712,0.8893031637241334,-0.0006248815640392813,-0.0017165200413087334
2025-11-09,rewarded,311155,285024,2274,0.9160193472706529,0.9233276019990038,0.00020392996232698746,-0.00010366704062558796
2025-11-10,interstitial,919545,805702,12984,0.8761963797312802,0.8903164064836414,0.0011263046405681765,0.0010132427595079818
2025-11-10,rewarded,301899,276912,2398,0.9172339093537905,0.9251769631565524,0.001214562083137527,0.0018493611575486346
2025-11-11,interstitial,926236,810517,12992,0.8750653181262659,0.8890919808774438,-0.0011310616050143052,-0.001224425606197621
2025-11-11,rewarded,303478,277582,2632,0.9146692676240122,0.9233420544487574,-0.0025646417297782165,-0.0018349087077950132
2025-11-12,interstitial,884929,773628,12858,0.8742260678540312,0.8887560470953036,-0.0008392502722346373,-0.0003359337821401409
2025-11-12,rewarded,292472,267743,2440,0.9154483164200333,0.9237909953773352,0.0007790487960210868,0.0004489409285778345
2025-11-13,interstitial,824389,719082,11738,0.8722605469020086,0.8864989707528849,-0.0019655209520226258,-0.0022570763424187845
2025-11-13,rewarded,271802,248439,2219,0.9140440467693395,0.922208077939088,-0.0014042696506938457,-0.0015829174382472333
2025-11-14,interstitial,788145,686621,11566,0.8711861396062908,0.8858611042384332,-0.0010744072957178386,-0.0006378665144516349
2025-11-14,rewarded,260201,237663,2309,0.9133823467242632,0.9222562557407543,-0.0006617000450762633,4.8177801666327014e-05
2025-11-15,interstitial,873771,760448,13539,0.8703058352817844,0.88580074184197,-0.0008803043245063646,-6.0362396463231605e-05
2025-11-15,rewarded,283363,258740,2235,0.9131043925988925,0.9209918020348458,-0.000277954125370683,-0.0012644537059085525
2025-11-16,interstitial,935711,817976,13043,0.8741758940527578,0.888115026968797,0.0038700587709733503,0.002314285126826965
2025-11-16,rewarded,304504,278698,2249,0.9152523447967843,0.9226381262643512,0.002147952197891767,0.0016463242295053915
2025-11-17,interstitial,907106,790658,14351,0.8716269101957214,0.8874475529871922,-0.002548983857036391,-0.0006674739816047159
2025-11-17,rewarded,290792,264978,2820,0.9112286445294231,0.9209262978348786,-0.004023700267361208,-0.001711828429472595
2025-11-18,interstitial,908441,789233,14924,0.8687773889553642,0.8852055334358533,-0.0028495212403572,-0.0022420195513389585
2025-11-18,rewarded,288140,262205,2989,0.9099916707156244,0.9203651002984661,-0.0012369738137987252,-0.0005611975364124833
2025-11-19,interstitial,853531,739640,15966,0.8665648933664976,0.8852707165879153,-0.002212495588866603,6.518315206205383e-05
2025-11-19,rewarded,273549,247859,3593,0.9060862953255175,0.9192210536320732,-0.0039053753901068244,-0.001144046666392895
2025-11-20,interstitial,820481,711131,15964,0.866724518910249,0.8861813984723595,0.00015962554375148486,0.0009106818844442088
2025-11-20,rewarded,261134,236418,3160,0.9053512755903099,0.9174523424755107,-0.0007350197352076204,-0.001768711156562519
2025-11-21,interstitial,857326,738113,16532,0.8609478774701805,0.8802310906236368,-0.0057766414400685084,-0.005950307848722747
2025-11-21,rewarded,268615,242436,3643,0.9025408111981833,0.9161029726560319,-0.0028104643921266215,-0.0013493698194787518
2025-11-22,interstitial,898551,775775,17444,0.8633622354212505,0.8827757133429266,0.002414357951069923,0.0025446227192897908
2025-11-22,rewarded,284819,257646,3437,0.9045955501564151,0.9166628630814658,0.0020547389582318276,0.0005598904254339176
2025-11-23,interstitial,957471,827815,18702,0.8645849325984808,0.8841176390720972,0.0012226971772303363,0.0013419257291705788
2025-11-23,rewarded,306308,277660,3696,0.9064732230304138,0.9185395092521254,0.0018776728739986481,0.0018766461706595239
2025-11-24,interstitial,931298,806015,17453,0.8654748533766851,0.8842153639329194,0.0008899207782042673,9.772486082226806e-05
2025-11-24,rewarded,299618,271990,3144,0.9077892516470973,0.9182826131941338,0.0013160286166835622,-0.00025689605799150694
