product,event_date,country,ad_format,hudi_show_pv,hudi_impression_pv,max_impression_pv,hudi_max_rate
ios_screw_puzzle,2025-10-13,US,interstitial,42130,41493,42764,0.970278739126368
ios_screw_puzzle,2025-10-13,US,rewarded,24294,24191,25105,0.9635929097789285
ios_screw_puzzle,2025-10-14,IN,interstitial,18079,17614,18064,0.975088573959256
ios_screw_puzzle,2025-10-14,IN,rewarded,7344,7299,7444,0.9805212251477701
ios_screw_puzzle,2025-10-14,US,interstitial,42196,41646,42586,0.9779270182689147
ios_screw_puzzle,2025-10-14,US,rewarded,21398,21341,22015,0.9693845105609812
ios_screw_puzzle,2025-10-15,IN,interstitial,18586,18216,18494,0.9849680977614361
ios_screw_puzzle,2025-10-15,IN,rewarded,7179,7144,7200,0.9922222222222222
ios_screw_puzzle,2025-10-15,US,interstitial,41779,41151,42031,0.9790630724941115
ios_screw_puzzle,2025-10-15,US,rewarded,23134,23080,23589,0.978422145915469
ios_screw_puzzle,2025-10-16,IN,interstitial,17509,17108,18474,0.9260582440186208
ios_screw_puzzle,2025-10-16,IN,rewarded,6532,6513,7145,0.9115465360391882
ios_screw_puzzle,2025-10-16,US,interstitial,38908,38347,40823,0.9393479166156333
ios_screw_puzzle,2025-10-16,US,rewarded,21127,21044,22719,0.926273163431489
ios_screw_puzzle,2025-10-17,IN,interstitial,16631,16327,16785,0.9727137324992553
ios_screw_puzzle,2025-10-17,IN,rewarded,6737,6711,6922,0.9695174804969662
ios_screw_puzzle,2025-10-17,US,interstitial,38197,37654,38542,0.9769601992631415
ios_screw_puzzle,2025-10-17,US,rewarded,21525,21428,22272,0.9621048850574713
ios_screw_puzzle,2025-10-18,IN,interstitial,16395,16069,16673,0.9637737659689318
ios_screw_puzzle,2025-10-18,IN,rewarded,6240,6221,6392,0.9732478097622027
ios_screw_puzzle,2025-10-18,US,interstitial,38194,37662,38920,0.9676772867420349
ios_screw_puzzle,2025-10-18,US,rewarded,21223,21106,21951,0.9615051706072616
ios_screw_puzzle,2025-10-19,IN,interstitial,17595,17277,17582,0.9826527130019338
ios_screw_puzzle,2025-10-19,IN,rewarded,6905,6876,6951,0.9892101855848079
ios_screw_puzzle,2025-10-19,US,interstitial,41291,40717,41514,0.9808016572722456
