product,ad_format,experiment_group,network_name,show_pv,impression_pv,display_failed_pv,impression_show_rate,impression_plus_failed_show_rate
ios_screw_puzzle,interstitial,have_is_adx,Unity Ads,2558128,2454501,52600,0.9594910809779651,0.9800529918753088
ios_screw_puzzle,interstitial,have_is_adx,Mintegral,503932,484480,7645,0.961399553908067,0.9765702515418747
ios_screw_puzzle,interstitial,have_is_adx,InMobi,537940,528912,6563,0.9832174591961929,0.9954177045767186
ios_screw_puzzle,interstitial,have_is_adx,IsAdxCustomAdapter,2127866,2087201,6529,0.9808893041197143,0.9839576364301136
ios_screw_puzzle,interstitial,have_is_adx,Ogury,343293,336462,4495,0.9801015459097622,0.9931953171197782
ios_screw_puzzle,interstitial,have_is_adx,Google AdMob,1815752,1812397,3012,0.998152280707938,0.9998110975507668
ios_screw_puzzle,interstitial,have_is_adx,BidMachine,378051,374827,2775,0.991472050067319,0.99881232955342
ios_screw_puzzle,interstitial,have_is_adx,ironSource,207924,204569,2500,0.9838642965699005,0.9958879205863681
ios_screw_puzzle,interstitial,have_is_adx,HyprMX,15824,14288,1530,0.9029322548028311,0.9996208291203236
ios_screw_puzzle,interstitial,have_is_adx,DT Exchange,845008,810365,1521,0.959002755003503,0.9608027379622441
ios_screw_puzzle,interstitial,have_is_adx,Chartboost,68722,65078,850,0.9469747679054742,0.9593434416926166
ios_screw_puzzle,interstitial,have_is_adx,Liftoff Monetize,1394821,1362332,762,0.9767074054663645,0.9772537121250684
ios_screw_puzzle,interstitial,have_is_adx,Facebook,634997,629897,211,0.9919684659927527,0.9923007510271702
ios_screw_puzzle,interstitial,have_is_adx,Liftoff_custom,383972,375530,190,0.9780140218557604,0.978508849603617
ios_screw_puzzle,interstitial,have_is_adx,PubMatic,45478,45369,90,0.9976032367298474,0.9995822155767624
ios_screw_puzzle,interstitial,have_is_adx,Google Ad Manager,36681,36576,83,0.9971374826204302,0.9994002344538044
ios_screw_puzzle,interstitial,have_is_adx,AppLovin,12949601,12941796,59,0.9993972787269662,0.9994018348519
ios_screw_puzzle,interstitial,have_is_adx,Amazon Ad Marketplace,154738,133066,37,0.8599439051816619,0.860183019038633
ios_screw_puzzle,interstitial,have_is_adx,TpAdxCustomAdapter,789,537,30,0.6806083650190115,0.7186311787072244
ios_screw_puzzle,interstitial,have_is_adx,Pangle,2361998,2353499,6,0.9964017751073455,0.9964043153296489
ios_screw_puzzle,interstitial,have_is_adx,BIGO Ads,61442,60435,2,0.9836105595520979,0.9836431105758277
ios_screw_puzzle,interstitial,have_is_adx,LINE,5408,2281,1,0.4217825443786982,0.4219674556213018
ios_screw_puzzle,interstitial,have_is_adx,APPLOVIN_EXCHANGE,181821,181751,0,0.9996150059674075,0.9996150059674075
ios_screw_puzzle,interstitial,have_is_adx,Moloco,2130943,2130075,0,0.9995926685978931,0.9995926685978931
ios_screw_puzzle,interstitial,no_is_adx,Unity Ads,2989819,2865946,51062,0.9585683949429714,0.9756470207728294
ios_screw_puzzle,interstitial,no_is_adx,Mintegral,613029,589272,9587,0.9612465315670221,0.9768852697017596
ios_screw_puzzle,interstitial,no_is_adx,InMobi,634621,624776,7849,0.984486803934947,0.9968548157089034
ios_screw_puzzle,interstitial,no_is_adx,ironSource,281062,276724,3546,0.9845656830165587,0.9971821164013634
ios_screw_puzzle,interstitial,no_is_adx,BidMachine,436181,432547,3248,0.9916685962937405,0.9991150462766604
ios_screw_puzzle,interstitial,no_is_adx,Google AdMob,1897433,1895421,1845,0.9989396200023927,0.9999119863520872
ios_screw_puzzle,interstitial,no_is_adx,DT Exchange,988642,949127,1675,0.9600310324667575,0.9617252756811869
ios_screw_puzzle,interstitial,no_is_adx,HyprMX,16749,15203,1536,0.9076959818496627,0.9994029494298167
ios_screw_puzzle,interstitial,no_is_adx,Ogury,363415,359806,1439,0.9900692046283175,0.9940288650716124
ios_screw_puzzle,interstitial,no_is_adx,Chartboost,72547,68252,1091,0.9407970005651509,0.9558355273133279
ios_screw_puzzle,interstitial,no_is_adx,Liftoff Monetize,1638261,1604284,1033,0.9792603254304412,0.979890872089368
ios_screw_puzzle,interstitial,no_is_adx,Facebook,700258,695089,220,0.992618434919701,0.9929326048399304
ios_screw_puzzle,interstitial,no_is_adx,Liftoff_custom,494547,484914,218,0.9805215682230405,0.9809623756690466
ios_screw_puzzle,interstitial,no_is_adx,AppLovin,13872563,13868062,77,0.9996755466167283,0.9996810971411699
ios_screw_puzzle,interstitial,no_is_adx,Google Ad Manager,53682,53627,57,0.9989754480086435,1.0000372564360493
ios_screw_puzzle,interstitial,no_is_adx,IsAdxCustomAdapter,1194,1130,33,0.9463986599664992,0.974036850921273
ios_screw_puzzle,interstitial,no_is_adx,PubMatic,48871,48815,29,0.9988541261688936,0.9994475251171452
ios_screw_puzzle,interstitial,no_is_adx,TpAdxCustomAdapter,969,633,29,0.653250773993808,0.6831785345717234
ios_screw_puzzle,interstitial,no_is_adx,Amazon Ad Marketplace,185401,163699,15,0.8829456151800692,0.8830265208925518
ios_screw_puzzle,interstitial,no_is_adx,BIGO Ads,76376,75273,12,0.9855582905624803,0.9857154079815649
ios_screw_puzzle,interstitial,no_is_adx,Moloco,2650949,2650505,5,0.9998325128095636,0.9998343989265731
ios_screw_puzzle,interstitial,no_is_adx,Pangle,3116488,3107070,2,0.9969780085788875,0.9969786503269065
ios_screw_puzzle,interstitial,no_is_adx,LINE,6254,2806,1,0.4486728493763991,0.4488327470418932
ios_screw_puzzle,interstitial,no_is_adx,APPLOVIN_EXCHANGE,210260,210238,0,0.9998953676400647,0.9998953676400647
ios_screw_puzzle,rewarded,have_is_adx,Unity Ads,553417,533645,18710,0.9642728719934516,0.998081013051641
ios_screw_puzzle,rewarded,have_is_adx,IsAdxCustomAdapter,546404,540155,5127,0.9885634072957006,0.9979465743296169
ios_screw_puzzle,rewarded,have_is_adx,Liftoff_custom,314925,310081,2739,0.9846185599745971,0.9933158688576645
ios_screw_puzzle,rewarded,have_is_adx,Google AdMob,1333783,1331438,2196,0.998241842938469,0.9998882876749816
ios_screw_puzzle,rewarded,have_is_adx,ironSource,118410,116234,1773,0.981623173718436,0.9965965712355376
ios_screw_puzzle,rewarded,have_is_adx,BidMachine,156791,155710,1065,0.9931054716150799,0.9998979533264026
ios_screw_puzzle,rewarded,have_is_adx,Liftoff Monetize,1124366,1117821,801,0.9941789417324963,0.9948913432103069
