date,country_id,ab_group,ad_format,impression,revenue,dau
2026-02-21,Brazil,ULP,INTER,608,4.059111,107
2026-02-21,Brazil,ULP,REWARD,166,2.0280639999999996,107
2026-02-22,Brazil,MAX,BANNER,4856,0.3808550000000001,108
2026-02-22,Brazil,MAX,INTER,602,6.580893,108
2026-02-22,Brazil,MAX,REWARD,187,2.282114,108
2026-02-22,Brazil,ULP,BANNER,6121,0.3062530000000001,101
2026-02-22,Brazil,ULP,INTER,731,3.362406000000001,101
2026-02-22,Brazil,ULP,REWARD,181,1.8433560000000004,101
2026-02-23,Brazil,MAX,BANNER,5280,0.4098400000000027,101
2026-02-23,Brazil,MAX,INTER,552,10.144121000000002,101
2026-02-23,Brazil,MAX,REWARD,213,2.625479,101
2026-02-23,Brazil,ULP,BANNER,6460,0.3422750000000001,102
2026-02-23,Brazil,ULP,INTER,685,3.125571,102
2026-02-23,Brazil,ULP,REWARD,239,1.8265489999999993,102
2026-02-24,Brazil,MAX,BANNER,5102,0.3160780000000024,97
2026-02-24,Brazil,MAX,INTER,514,4.629540000000001,97
2026-02-24,Brazil,MAX,REWARD,180,1.71014,97
2026-02-24,Brazil,ULP,BANNER,8188,0.39932699999999977,101
2026-02-24,Brazil,ULP,INTER,888,5.077116000000001,101
2026-02-24,Brazil,ULP,REWARD,297,2.755101,101
2026-02-25,Brazil,MAX,BANNER,4625,0.3219540000000013,94
2026-02-25,Brazil,MAX,INTER,439,5.110638999999999,94
2026-02-25,Brazil,MAX,REWARD,176,2.7286980000000005,94
2026-02-25,Brazil,ULP,BANNER,8300,0.37987000000000004,98
2026-02-25,Brazil,ULP,INTER,849,3.748095000000001,98
2026-02-25,Brazil,ULP,REWARD,319,4.803744000000002,98
2026-02-26,Brazil,MAX,BANNER,4274,0.335997000000002,98
2026-02-26,Brazil,MAX,INTER,409,3.7204069999999985,98
2026-02-26,Brazil,MAX,REWARD,133,1.2343029999999997,98
2026-02-26,Brazil,ULP,BANNER,5275,0.3205039999999999,89
2026-02-26,Brazil,ULP,INTER,562,5.148459000000002,89
2026-02-26,Brazil,ULP,REWARD,233,3.0209189999999984,89
2026-02-27,Brazil,MAX,BANNER,4783,0.3358740000000019,90
2026-02-27,Brazil,MAX,INTER,490,6.9918450000000005,90
2026-02-27,Brazil,MAX,REWARD,144,2.005145,90
2026-02-27,Brazil,ULP,BANNER,5206,0.32184900000000005,89
2026-02-27,Brazil,ULP,INTER,478,2.650750999999999,89
2026-02-27,Brazil,ULP,REWARD,156,1.4486690000000002,89
2026-02-28,Brazil,MAX,BANNER,4452,0.31855400000000134,105
2026-02-28,Brazil,MAX,INTER,466,7.4159749999999995,105
2026-02-28,Brazil,MAX,REWARD,124,1.182728,105
2026-02-28,Brazil,ULP,BANNER,5924,0.372366,95
2026-02-28,Brazil,ULP,INTER,563,2.5943389999999997,95
2026-02-28,Brazil,ULP,REWARD,207,2.0709219999999995,95
2026-03-01,Brazil,MAX,BANNER,5403,0.34694400000000186,112
2026-03-01,Brazil,MAX,INTER,617,8.994876999999999,112
2026-03-01,Brazil,MAX,REWARD,164,1.8954320000000002,112
2026-03-01,Brazil,ULP,BANNER,6360,0.39876300000000003,114
2026-03-01,Brazil,ULP,INTER,656,4.499617,114
2026-03-01,Brazil,ULP,REWARD,218,1.7324110000000006,114
2026-03-02,Brazil,MAX,BANNER,3273,0.23378899999999878,101
2026-03-02,Brazil,MAX,INTER,335,2.9344489999999994,101
2026-03-02,Brazil,MAX,REWARD,89,0.9540020000000001,101
2026-03-02,Brazil,ULP,BANNER,3968,0.32403400000000004,95
2026-03-02,Brazil,ULP,INTER,421,5.985410999999999,95
2026-03-02,Brazil,ULP,REWARD,140,0.674659,95
