dt,scope_key,ab_group,trigger_pv,show_pv,hudi_impression_pv,paid_pv,paid_revenue_usd,show_rate,paid_ecpm
2026-04-03,classic_revive_back,B,11902,9229,9178.0,9178,169.5393629999999,0.7754158964879853,18.472364676400076
2026-04-04,classic_revive_back,B,12095,9270,9208.0,9210,158.37047499999983,0.7664324100868127,17.19549131378934
2026-04-05,classic_revive_back,B,12331,9492,9463.0,9466,177.5503049999998,0.7697672532641311,18.756634798225207
2026-04-06,classic_revive_back,B,12176,9310,9272.0,9274,192.25408000000004,0.7646189224704336,20.73043778304939
TOTAL,classic_revive_back,B,156713,121770,0.7770255179851066,121175,121192.0,2195.326392,18.114449732655622
2026-03-23,overall,A,6472,5377,5342.0,5346,113.36536900000009,0.8308096415327565,21.20564328469886
2026-03-24,overall,A,19294,15757,15655.0,15668,297.30156599999964,0.8166787602363429,18.97508080163388
2026-03-25,overall,A,34666,28218,28065.0,28074,524.2154949999986,0.8139964230081348,18.672632863147346
2026-03-26,overall,A,40187,32509,32293.0,32306,547.120225999999,0.8089431905840198,16.935560762706587
2026-03-27,overall,A,42979,34912,34749.0,34755,569.8532219999981,0.812303683194118,16.396294691411253
2026-03-28,overall,A,43364,34998,34824.0,34834,596.0087099999984,0.8070749930818191,17.10997043118787
2026-03-29,overall,A,46964,38058,37883.0,37889,608.0453799999976,0.8103653862533003,16.048071471931106
2026-03-30,overall,A,46241,36900,36708.0,36707,570.1055469999989,0.7979931229860946,15.531248726400928
2026-03-31,overall,A,46034,36527,36317.0,36330,560.1349430000008,0.7934787331103098,15.417972557115354
2026-04-01,overall,A,44147,34938,34744.0,34766,554.7748199999983,0.7914014542324507,15.957395731461725
2026-04-02,overall,A,44938,35366,35189.0,35200,529.6377589999983,0.7869954159063599,15.046527244318131
2026-04-03,overall,A,45735,35964,35687.0,35692,584.2557079999985,0.7863561823548705,16.36937431357163
2026-04-04,overall,A,47487,37454,37227.0,37230,616.0936579999986,0.7887211236759534,16.548312060166495
2026-04-05,overall,A,48568,38355,38158.0,38165,662.4885679999987,0.7897175094712567,17.358537088955817
2026-04-06,overall,A,47346,37624,37438.0,37448,622.6677429999993,0.7946605837874372,16.627529988250355
TOTAL,overall,A,604422,482957,0.799039412860551,480279,480410.0,7956.068713999983,16.560997302304248
2026-03-23,overall,B,7198,6248,6212.0,6212,114.86447199999986,0.8680188941372603,18.490739214423673
2026-03-24,overall,B,19937,16899,16821.0,16825,293.1124870000001,0.8476200030094798,17.421247369985146
2026-03-25,overall,B,34413,28831,28678.0,28690,431.73475000000025,0.8377938569726557,15.048265946322768
2026-03-26,overall,B,40122,33518,33313.0,33322,465.2640629999994,0.8354020238273266,13.962669197527141
2026-03-27,overall,B,41461,34755,34502.0,34517,516.7431560000005,0.8382576397096067,14.970685633166278
2026-03-28,overall,B,43880,37018,36823.0,36836,584.1053380000011,0.8436189608021878,15.856915463133921
2026-03-29,overall,B,47253,39746,39551.0,39562,634.5844049999974,0.8411317799928046,16.040250872048873
2026-03-30,overall,B,44293,37203,37001.0,37003,586.1460290000005,0.8399295599756169,15.84050020268628
2026-03-31,overall,B,44178,36472,36257.0,36268,505.87018099999904,0.8255692878808457,13.948113516047178
2026-04-01,overall,B,43667,36258,36105.0,36120,531.2898370000007,0.8303295394691643,14.709020957918073
2026-04-02,overall,B,43854,36213,36037.0,36051,521.9875579999992,0.8257627582432617,14.479142270672083
2026-04-03,overall,B,44555,36892,36694.0,36698,577.7734669999987,0.8280103243182584,15.744004223663381
2026-04-04,overall,B,47070,39405,39156.0,39161,583.2679300000003,0.837157425111536,14.894102040295198
2026-04-05,overall,B,47572,39665,39526.0,39533,641.9934879999987,0.8337887833179181,16.23943257531679
2026-04-06,overall,B,45682,38227,38034.0,38049,624.3582710000011,0.8368066196751456,16.40932142763282
TOTAL,overall,B,595135,497350,0.8356927419829114,494710,494847.0,7613.095431999997,15.384746056862014
